WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rHo,PA
11137+2008,Hip07,18.35,0.96,0.755,2.293,7.585,2.16,2.349,2.571,1.079,1.173,1.285,1.081,1.176,1.287,Hip07,18.35,0.96,2.241,0.7,317
11165-4553,Hip07,19.23,0.67,0.355,2.899,16.07,2.346,2.553,2.776,1.212,1.318,1.434,1.134,1.235,1.342,Hip07,19.23,0.67,2.674,2.61,276
11319-3436,TGAS,20.69,0.65,0.865,0.982,1.119,0.787,0.838,0.893,0.663,0.703,0.744,0.124,0.135,0.149,TGAS,20.69,0.65,0.981,1.85,354
11323+6105,EDR3,35.376,0.087,2.08,2.119,2.159,2.12,2.277,2.443,1.194,1.298,1.408,0.925,0.979,1.035,EDR3,35.376,0.087,2.119,0.92,35
11363+2747,EDR3,14.243,0.542,1.101,3.317,10.937,2.978,3.266,3.603,1.521,1.67,1.846,1.457,1.596,1.758,EDR3,14.243,0.542,3.255,0.72,150
11366+5608,Hip97,22.92,1.36,1.33,2.062,3.268,1.905,2.022,2.179,0.982,1.044,1.141,0.922,0.979,1.038,Hip97,22.92,1.36,2.044,6.19,166
11368-1221,EDR3,19.754,0.017,0.595,1.442,3.666,1.572,1.681,1.776,0.798,0.853,0.902,0.774,0.827,0.874,EDR3,19.754,0.017,1.419,1.2,163
11563+3527,Hip07,5.69,0.67,2.314,3.753,6.23,3.74,4.397,5.13,2.312,2.812,3.354,1.428,1.585,1.776,Hip07,5.69,0.67,3.7,1.81,146
12151-0715,TGAS,28.27,0.44,0.725,1.842,5.287,1.755,1.858,1.968,0.893,0.945,1.001,0.862,0.914,0.967,TGAS,28.27,0.44,1.819,6.85,266
12155-3106,EDR3,43.028,0.243,1.001,1.027,1.053,1.105,1.181,1.262,0.59,0.636,0.679,0.514,0.546,0.583,EDR3,43.028,0.243,1.027,0.61,162
12160+0538,EDR3,28.679,0.015,0.935,1.399,2.129,1.317,1.4,1.484,0.679,0.719,0.763,0.638,0.681,0.72,EDR3,28.679,0.015,1.396,1.68,46
12236+6711,EDR3,75.616,0.44,0.721,0.738,0.756,0.646,0.736,0.831,0.331,0.383,0.428,0.315,0.353,0.403,EDR3,75.616,0.44,0.738,0.53,37
12272+2701,EDR3,36.507,0.02,0.451,1.355,4.428,1.432,1.521,1.625,0.735,0.783,0.838,0.697,0.738,0.787,EDR3,36.507,0.02,1.333,2.76,4
12291+3123,EDR3,5.723,0.155,0.408,3.336,18.447,3.178,3.494,3.878,1.65,1.818,2.027,1.529,1.677,1.851,EDR3,5.723,0.155,3.088,0.71,70
12301-1324,EDR3,41.164,0.021,1.402,1.709,2.072,1.648,1.744,1.877,0.982,1.039,1.131,0.666,0.705,0.746,EDR3,41.164,0.021,1.708,2.12,347
12372+2112,EDR3,4.418,0.19,1.389,4.202,13.861,3.507,3.871,4.434,1.939,2.146,2.52,1.568,1.725,1.914,EDR3,4.418,0.19,4.109,0.64,68
12417-0127,Hip07,85.58,0.6,2.63,2.689,2.749,2.511,2.721,2.965,1.262,1.367,1.49,1.249,1.354,1.475,EDR3,83.194,0.507,2.927,2.4,4
12567-4741,DR2,10.982,0.685,2.319,3.343,4.956,2.777,3.045,3.353,1.409,1.548,1.705,1.367,1.497,1.648,DR2,10.982,0.685,3.312,0.85,236
13044-1316,Hip07,7.56,2.14,0.837,1.904,5.383,1.843,2.032,2.385,0.915,1.009,1.178,0.928,1.023,1.208,Hip07,7.56,2.14,1.862,0.49,222
13198+4747,DR2,109.984,0.829,1.082,1.109,1.137,0.991,1.066,1.141,0.537,0.57,0.613,0.455,0.495,0.528,DR2,109.984,0.829,1.109,0.67,86
13284+1543,EDR3,16.747,0.02,0.663,2.249,8.829,2.036,2.187,2.381,1.052,1.145,1.247,0.984,1.042,1.134,EDR3,16.747,0.02,2.237,2,357
13320+3108,Hip97,32.05,2.96,1.032,1.348,1.805,1.116,1.206,1.31,0.564,0.611,0.663,0.551,0.595,0.647,Hip97,32.05,2.96,1.348,0.38,42
13328+1649,EDR3,60.054,0.028,0.106,0.861,4.747,0.732,0.829,0.916,0.39,0.435,0.478,0.342,0.394,0.438,EDR3,60.054,0.028,0.795,2.71,54
13341+6746,Hip97,15.4,1.75,0.809,1.769,3.971,1.759,1.88,2.011,0.896,0.957,1.023,0.863,0.923,0.988,Hip07,14.41,1.11,2.097,4.16,344
13343-0019,EDR3,37.125,0.026,0.697,1.793,4.699,1.597,1.695,1.803,0.853,0.901,0.953,0.744,0.794,0.85,EDR3,37.125,0.026,1.768,1.72,140
13375+3618,Hip97,17.01,0.7,2.912,3.448,4.09,3.261,3.594,4.115,1.995,2.218,2.612,1.267,1.376,1.503,Hip97,17.01,0.7,3.445,1.74,96
13381+3910,3rd light,22.068,0.012,0.158,2.332,15.09,1.687,1.788,1.924,0.966,1.023,1.106,0.721,0.765,0.818,3rd,22.068,0.012,1.67,1.58,45
13491+2659,EDR3,74.105,0.028,1.457,1.47,1.483,1.38,1.461,1.554,0.708,0.75,0.801,0.671,0.711,0.753,EDR3,74.105,0.028,1.47,2.92,186
13535-3540,Hip97,19.97,1.46,2.467,3.151,4.076,2.707,2.968,3.273,1.356,1.486,1.639,1.351,1.481,1.633,Hip97,19.97,1.46,3.143,1.01,315
13577+5200,EDR3,18.882,0.013,1.802,2.227,2.794,1.743,1.847,1.955,0.881,0.933,0.988,0.862,0.914,0.967,EDR3,18.882,0.013,2.225,1.44,300
14019+1530,Hip97,37.28,5.79,0.336,1.151,4.392,1.015,1.095,1.2,0.507,0.547,0.599,0.509,0.549,0.601,Hip97,37.28,5.79,1.09,1.62,342
14077-4952,Hip07,21.49,0.74,0.726,2.409,8.893,2.199,2.392,2.609,1.128,1.227,1.335,1.071,1.165,1.274,DR2,21.43,0.389,2.388,1.08,328
14142-0831,Hip97,8.06,2.18,0.329,3.112,23.324,2.182,2.512,2.959,1.12,1.288,1.52,1.062,1.224,1.44,Hip97,8.06,2.18,2.712,0.5,33
14153+0308,EDR3,24.233,0.078,1.844,1.971,2.105,1.915,2.028,2.181,0.964,1.021,1.103,0.95,1.007,1.078,EDR3,24.233,0.078,1.971,0.9,166
14203+4830,EDR3,13.945,0.014,1.764,2.217,2.846,2.186,2.376,2.586,1.114,1.211,1.315,1.072,1.165,1.271,EDR3,13.945,0.014,2.217,1.66,103
14369+4813,EDR3,10.86,0.394,1.664,2.085,2.603,2.295,2.503,2.721,1.13,1.23,1.339,1.164,1.273,1.383,EDR3,10.86,0.394,2.082,0.54,236
14380+5135,EDR3,11.401,0.116,0.998,2.991,9.788,2.629,2.856,3.124,1.328,1.444,1.58,1.301,1.412,1.544,EDR3,11.401,0.116,2.937,0.67,60
14463+0939,EDR3,22.842,0.021,1.596,1.798,2.025,1.878,1.985,2.133,0.981,1.036,1.128,0.897,0.949,1.005,EDR3,22.842,0.021,1.798,1.74,83
14464-0723,EDR3,12.888,0.03,0.594,2.366,10.843,2.105,2.289,2.492,1.069,1.162,1.267,1.036,1.127,1.224,EDR3,12.888,0.03,2.379,1.28,114
14489+0557,EDR3,16.18,0.268,2.187,2.531,2.942,2.297,2.505,2.716,1.154,1.26,1.365,1.143,1.246,1.351,EDR3,16.18,0.268,2.528,1.02,278
14493-1409,Hip97,13.86,1.3,1.319,4.104,13.934,3.251,3.636,4.071,1.812,2.046,2.301,1.439,1.59,1.769,Hip97,13.86,1.3,3.982,1.93,7
14511-3706,Hip07,12.38,2.58,0.199,1.769,11.645,1.736,1.885,2.079,0.898,0.974,1.082,0.838,0.91,0.997,Hip97,11.75,3.09,1.839,1.23,36
14514+1906,EDR3,148.163,0.05,1.574,1.579,1.584,1.488,1.581,1.673,0.856,0.905,0.958,0.631,0.675,0.715,EDR3,148.163,0.05,1.579,5.66,302
14531-4638,EDR3,19.077,0.113,1.904,2.073,2.252,1.896,2.008,2.145,0.95,1.006,1.076,0.946,1.002,1.069,EDR3,19.077,0.113,2.073,0.74,316
14534+1542,3rd light,21.144,0.139,0.921,2.757,9.048,2.23,2.425,2.632,1.192,1.296,1.406,1.037,1.129,1.226,3rd,21.144,0.139,2.704,1.01,158
14542-6625,Hip07,25.98,1.24,1.083,2.114,4.46,1.878,1.986,2.139,0.969,1.023,1.117,0.909,0.963,1.022,Hip07,25.98,1.24,2.087,1.19,270
14544-3409,Hip97,10.63,1.25,2.125,2.97,4.331,2.249,2.48,2.755,1.509,1.68,1.893,0.741,0.8,0.862,Hip97,10.63,1.25,2.97,3.16,222
15035-4035,Hip07,6.09,1.54,0.699,2.674,12.082,2.311,2.647,3.104,1.135,1.299,1.52,1.177,1.348,1.584,Hip07,6.09,1.54,2.44,0.38,43
15055-0701,Hip07,21.01,1.13,0.893,2.037,4.732,1.838,1.953,2.096,0.962,1.021,1.107,0.876,0.932,0.989,Hip07,21.01,1.13,1.998,2.3,274
15155+3319,Hip97,27.838,0.507,0.505,4.113,22.724,3.335,3.787,4.287,2.423,2.822,3.264,0.912,0.965,1.022,Hip97,27.838,0.507,3.809,104.91,78
15183+2650,EDR3,27.614,0.016,2.109,2.21,2.316,1.955,2.065,2.249,0.981,1.037,1.129,0.975,1.028,1.12,EDR3,27.614,0.016,2.21,1.62,266
15197-2416,Hip07,14.36,1.69,0.258,2.156,12.563,2.173,2.395,2.65,1.112,1.225,1.352,1.061,1.171,1.298,Hip07,14.36,1.69,1.97,0.59,241
15226-4755,Hip07,28.2,1.39,1.426,1.655,1.934,1.671,1.773,1.881,0.856,0.907,0.962,0.814,0.865,0.92,Hip07,28.2,1.39,1.655,0.63,354
15245+3723,Hip07,27.73,0.65,1.975,2.173,2.393,1.964,2.104,2.267,1.021,1.104,1.201,0.943,0.999,1.066,Hip07,27.73,0.65,2.173,2.27,4
15246+5413,Hip97,5.48,1.24,1.413,5.198,21.942,4.111,5.03,6.428,2.073,2.541,3.253,2.038,2.489,3.175,Hip97,5.48,1.24,4.789,0.67,269
15252-4659,EDR3,10.904,0.215,0.238,1.948,10.756,1.687,1.784,1.887,0.841,0.89,0.942,0.846,0.894,0.946,EDR3,10.904,0.215,1.796,0.66,329
15262-2819,Hip07,8.7,1.54,0.288,2.502,15.739,1.737,1.88,2.038,0.872,0.945,1.023,0.864,0.934,1.015,Hip07,8.7,1.54,2.254,0.41,163
15264+4400,EDR3,11.064,0.013,0.309,2.436,18.367,2.341,2.537,2.764,1.323,1.438,1.572,1.018,1.099,1.192,Hip07,11.37,0.73,2.514,2.15,274
15360+3948,3rd light,44.562,0.015,1.737,1.766,1.795,1.665,1.761,1.865,0.845,0.893,0.944,0.82,0.868,0.921,3rd,44.562,0.015,1.766,1.2,185
15382+3615,Hip97,11.42,2.44,0.83,2.04,6.125,2.07,2.305,2.609,1.231,1.393,1.608,0.839,0.912,1,Hip97,11.42,2.44,1.881,1.37,79
15413+5959,EDR3,15.509,0.016,1.579,1.932,2.385,1.792,1.899,2.006,0.92,0.973,1.026,0.872,0.926,0.98,EDR3,15.509,0.016,1.931,1.07,29
15440+0231,EDR3,67.601,0.036,0.197,1.612,8.868,1.235,1.331,1.432,0.916,0.97,1.023,0.318,0.361,0.409,EDR3,67.601,0.036,1.492,4.7,16
15457+5040,EDR3,8.719,0.141,0.728,2.181,7.154,1.831,1.937,2.051,0.928,0.982,1.039,0.903,0.955,1.012,EDR3,8.719,0.141,2.144,0.51,177
15465+1957,Hip97,21.28,4.98,0.153,1.392,9.652,1.279,1.408,1.564,0.648,0.711,0.791,0.631,0.697,0.773,Hip07,20.4,2.66,1.396,0.48,76
16044-1122,EDR3,35.789,0.144,2.783,2.897,3.014,2.746,2.992,3.277,1.376,1.5,1.642,1.37,1.493,1.634,EDR3,35.789,0.144,2.896,1.1,6
16057-3252,Hip07,24.7,1.83,1.432,2.026,2.852,1.658,1.774,1.886,0.875,0.933,0.992,0.783,0.841,0.894,Hip07,24.7,1.83,2.026,0.78,6
16115+1507,Hip97,7.66,3.39,0.559,2.906,24.314,1.971,2.317,3.027,0.986,1.159,1.514,0.985,1.158,1.513,Hip97,7.66,3.39,2.539,0.8,116
16160+0721,EDR3,37.069,0.012,1.052,1.411,1.936,1.35,1.429,1.516,0.69,0.73,0.777,0.66,0.699,0.739,EDR3,37.069,0.012,1.409,3.53,17
16169+0113,Hip97,8.61,3.85,0.163,1.859,22.951,1.791,2.033,2.631,0.902,1.023,1.33,0.888,1.01,1.301,Hip97,8.61,3.85,1.559,0.4,78
16216+3631,EDR3,16.494,0.53,1.206,1.572,2.047,1.555,1.664,1.76,0.776,0.831,0.879,0.778,0.833,0.881,EDR3,16.494,0.53,1.569,0.35,249
16224-3220,EDR3,18.594,0.052,0.905,1.467,2.383,1.475,1.569,1.666,0.772,0.825,0.872,0.703,0.744,0.794,EDR3,18.594,0.052,1.459,0.55,16
16289+1825,Hip07,50.87,0.8,1.441,1.602,1.783,1.532,1.638,1.737,0.777,0.831,0.878,0.755,0.807,0.859,EDR3,51.8,0.013,1.516,2.4,119
16309+0159,DR2,20.334,0.41,4.841,5.172,5.53,3.859,4.404,5.009,2.183,2.552,2.942,1.677,1.851,2.067,DR2,20.334,0.41,5.172,1.39,42
16318-0701,Hip07,6.12,0.97,1.214,4.053,14.947,3.469,3.969,4.669,1.805,2.078,2.493,1.664,1.891,2.177,Hip07,6.12,0.97,3.831,0.56,182
16425-3705,Hip07,10.55,1.04,1.293,4.052,13.863,2.982,3.308,3.683,1.671,1.868,2.089,1.311,1.44,1.595,Hip07,10.55,1.04,3.918,0.84,247
16439+4329,Hip97,36.59,2.13,1.105,1.313,1.575,1.421,1.51,1.619,0.715,0.761,0.816,0.706,0.749,0.803,Hip97,36.59,2.13,1.313,0.55,337
16518+2840,Hip97,17.62,0.95,2.253,2.727,3.32,2.239,2.41,2.629,1.278,1.39,1.523,0.961,1.02,1.106,Hip97,17.62,0.95,2.724,1.44,105
16564+6502,TGAS,15.39,0.31,1.548,3.198,7.094,2.561,2.779,3.034,1.297,1.408,1.539,1.264,1.371,1.494,TGAS,15.39,0.31,3.158,0.99,66
16579+4722,Hip07,54.63,0.61,0.93,1.154,1.435,1.206,1.295,1.383,0.744,0.795,0.85,0.462,0.501,0.532,Hip07,54.63,0.61,1.152,5.09,63
16579+4722,Hip97,56.766,0.612,1.116,1.8,2.942,1.461,1.555,1.663,0.736,0.784,0.839,0.725,0.771,0.824,Hip97,56.766,0.612,1.791,112.38,262
17053+5428,3rd light,36.786,0.019,1.63,2.908,5.643,2.35,2.562,2.778,1.186,1.291,1.4,1.164,1.271,1.377,3rd,36.786,0.019,2.889,2.52,2
17066+0039,Hip97,18.73,2.14,1.048,2.259,6.498,1.697,1.823,1.95,0.913,0.976,1.045,0.783,0.847,0.905,Hip97,18.73,2.14,2.18,1.03,171
17102+5430,Hip07,50.184,1.741,0.915,1.407,2.176,1.29,1.376,1.459,0.667,0.707,0.749,0.624,0.67,0.71,Hip07,50.184,1.741,1.399,22.14,133
17136+1716,Hip07,8.21,1.98,0.58,2.183,9.608,1.803,1.971,2.235,0.898,0.981,1.111,0.905,0.99,1.123,Hip07,8.21,1.98,2,0.48,133
17141-0824,TGAS,34.32,0.35,1.32,1.57,1.853,1.296,1.379,1.465,0.775,0.828,0.875,0.521,0.551,0.59,TGAS,34.32,0.35,1.568,1.48,46
17191-4638,EDR3,113.738,0.071,0.214,1.743,9.632,1.359,1.439,1.535,0.824,0.871,0.925,0.535,0.568,0.611,EDR3,113.738,0.071,1.613,10.42,258
17420+1557,EDR3,28.467,0.047,0.803,2.395,7.847,2.052,2.213,2.401,1.344,1.463,1.6,0.708,0.75,0.8,EDR3,28.467,0.047,2.351,1.47,102
17443-7213,Hip97,22.67,1.34,1.691,2.201,2.87,2.094,2.287,2.502,1.056,1.153,1.263,1.038,1.134,1.239,Hip97,22.67,1.34,2.197,0.43,76
17465+2743,3rd light,119.925,0.154,0.762,0.828,0.898,0.772,0.863,0.948,0.41,0.454,0.494,0.362,0.409,0.453,3rd,119.925,0.154,0.828,0.61,299
17506+0714,Hip97,10.26,1.9,0.766,2.647,10.224,2.367,2.655,3.012,1.204,1.347,1.531,1.163,1.308,1.481,EDR3,10.289,0.059,2.46,0.58,164
17520+1520,EDR3,5.427,0.105,1.93,5.791,18.942,4.806,5.623,6.511,2.394,2.806,3.251,2.412,2.817,3.261,EDR3,5.427,0.105,5.686,0.83,163
17591+3228,EDR3,8.32,0.502,0.223,1.84,10.286,2.004,2.152,2.349,1.02,1.106,1.207,0.983,1.045,1.142,Hip07,7.46,1.18,2.349,0.23,134
18055+0230,EDR3,195.676,0.155,1.602,1.609,1.617,1.507,1.594,1.687,0.843,0.891,0.943,0.664,0.703,0.744,EDR3,195.676,0.155,1.609,6.41,125
18068-4325,Hip07,23.9,0.66,1.041,3.136,10.272,2.799,3.06,3.356,1.41,1.542,1.691,1.39,1.517,1.664,Hip07,23.9,0.66,3.071,1.78,1
18126-7340,Hip97,24.48,0.69,0.302,2.474,13.638,2.143,2.318,2.506,1.342,1.462,1.6,0.801,0.856,0.905,Hip97,24.48,0.69,2.278,2.1,271
18126+3836,Hip07,6.85,0.93,0.968,3.138,11.198,2.575,2.857,3.198,1.351,1.502,1.687,1.224,1.355,1.512,Hip07,6.85,0.93,3,0.76,319
18146+0011,Hip97,11.45,1.97,0.687,2.334,8.806,2.234,2.502,2.812,1.153,1.292,1.453,1.081,1.21,1.359,Hip97,11.45,1.97,2.197,1.37,93
18191-3509,EDR3,32.396,0.047,0.522,1.56,5.108,1.427,1.516,1.618,0.737,0.785,0.84,0.69,0.73,0.778,EDR3,32.396,0.047,1.535,0.94,295
18229+1458,Hip07,12.61,1.04,1.061,2.196,4.18,1.929,2.059,2.234,0.991,1.06,1.162,0.938,0.998,1.073,Hip07,12.61,1.04,2.182,0.32,126
18428+5938,EDR3,283.839,0.017,0.239,0.714,2.343,0.623,0.711,0.798,0.342,0.394,0.438,0.281,0.318,0.36,EDR3,283.839,0.017,0.702,11.56,180
18443+3940,Hip07,20.09,0.78,1.017,3.07,10.115,3.165,3.497,3.862,1.769,1.969,2.185,1.397,1.528,1.677,Hip07,20.09,0.78,3.005,2.28,346
18570+3254,EDR3,67.141,0.118,1.447,1.603,1.783,1.689,1.79,1.932,0.989,1.05,1.142,0.7,0.741,0.79,EDR3,67.141,0.118,1.603,1.28,241
19043-2132,EDR3,19.434,0.021,0.825,2.171,5.635,2.003,2.143,2.329,1.019,1.1,1.193,0.985,1.043,1.135,EDR3,19.434,0.021,2.133,1.28,185
19064-3704,Hip97,55.89,1.94,2.303,2.55,2.836,2.266,2.466,2.682,1.139,1.241,1.349,1.126,1.225,1.333,Hip97,55.89,1.94,2.551,1.4,345
19071+7204,EDR3,4.395,0.127,4.524,5.104,5.766,4.277,4.893,5.714,2.221,2.612,3.018,2.057,2.281,2.695,EDR3,4.395,0.127,5.1,0.68,6
19072+2053,Hip07,115.864,1.619,0.108,0.881,4.85,0.681,0.785,0.875,0.341,0.393,0.438,0.34,0.392,0.437,Hip07,115.864,1.619,0.813,114.05,290
19126+1651,EDR3,5.096,0.141,1.25,3.756,12.343,4.305,4.911,5.637,2.419,2.822,3.27,1.886,2.089,2.367,Hip07,4.12,0.84,6.98,0.63,136
19169+6312,EDR3,12.695,0.014,1.027,3.073,10.072,2.474,2.692,2.933,1.335,1.452,1.588,1.139,1.24,1.345,EDR3,12.695,0.014,3.025,1.87,328
19266+2719,EDR3,16.313,0.013,1.651,2.561,4.373,2.03,2.187,2.376,1.032,1.124,1.221,0.998,1.063,1.155,EDR3,16.313,0.013,2.556,2.2,289
19282-1209,EDR3,26.715,0.042,1.82,1.878,1.937,1.728,1.832,1.938,0.872,0.926,0.98,0.856,0.906,0.958,EDR3,26.715,0.042,1.878,1.09,289
19316+1747,Hip07,19.96,1.04,0.527,1.723,6.983,1.58,1.682,1.792,0.939,0.997,1.065,0.641,0.685,0.726,Hip07,19.96,1.04,1.718,1.8,119
19330+0546,EDR3,7.588,0.025,0.37,2.704,16.675,2.33,2.532,2.758,1.292,1.402,1.531,1.038,1.13,1.227,EDR3,7.588,0.025,2.682,1.03,305
19418+5032,EDR3,47.327,0.013,0.769,2.304,7.545,1.977,2.101,2.282,1.007,1.078,1.169,0.97,1.023,1.113,EDR3,47.327,0.013,2.261,39.76,133
19429+4043,EDR3,4.951,0.041,2.878,4.661,7.583,4.108,4.703,5.337,2.388,2.801,3.243,1.72,1.902,2.094,EDR3,4.951,0.041,4.636,0.8,15
19464+3344,EDR3,47.641,0.012,1.426,1.524,1.626,1.433,1.52,1.624,0.723,0.768,0.821,0.71,0.752,0.803,EDR3,47.641,0.012,1.524,3.06,157
19458+2710,EDR3,93.877,0.022,0.068,0.552,3.056,0.426,0.487,0.559,0.231,0.266,0.306,0.195,0.222,0.252,EDR3,93.877,0.022,0.51,2.27,60
19496-5525,Hip97,16.1,2.06,0.591,1.907,6.74,1.683,1.811,1.936,0.895,0.958,1.023,0.788,0.853,0.913,Hip97,16.1,2.06,1.826,1.21,132
19520-1021,Hip07,11.5,1.03,0.359,2.975,16.972,2.429,2.665,2.93,1.274,1.395,1.539,1.154,1.271,1.391,Hip07,11.5,1.03,2.725,0.6,212
19580+0456,EDR3,8.016,0.046,2.251,2.746,3.332,2.247,2.441,2.651,1.114,1.211,1.314,1.132,1.23,1.337,EDR3,8.016,0.046,2.744,0.59,343
19585+3317,Hip97,14.19,1.21,0.711,2.201,7.415,2.215,2.433,2.67,1.17,1.286,1.407,1.046,1.147,1.262,Hip97,14.19,1.21,2.136,0.69,145
20012-3835,Hip07,14.6,0.97,0.252,2.071,11.621,2.008,2.164,2.34,1.082,1.179,1.292,0.927,0.984,1.048,Hip07,14.6,0.97,1.898,1.24,32
20182+2912,Hip97,28.04,2.25,0.18,1.488,8.42,1.445,1.546,1.65,0.76,0.817,0.87,0.685,0.729,0.78,Hip97,28.04,2.25,1.366,1.21,96
20210+4437,Hip97,20.44,1.87,1.152,1.54,2.104,1.543,1.65,1.771,0.813,0.868,0.927,0.73,0.783,0.844,Hip97,20.44,1.87,1.538,0.81,25
20213+0250,EDR3,19.575,0.027,1.28,1.56,1.892,1.567,1.672,1.772,0.804,0.857,0.907,0.763,0.815,0.865,EDR3,19.575,0.027,1.559,1.19,42
20269-3724,EDR3,25.456,0.04,1.945,2.087,2.242,2.133,2.291,2.457,1.215,1.32,1.434,0.918,0.971,1.023,EDR3,25.456,0.04,2.086,1.57,125
20289-1749,DR2,33.662,0.121,1.914,2.886,4.235,2.4,2.588,2.829,1.42,1.553,1.702,0.979,1.035,1.127,DR2,33.662,0.121,2.881,1.64,190
20290+0710,Hip07,12.8,1.64,1.144,1.73,2.715,1.809,1.939,2.094,0.927,0.994,1.079,0.881,0.945,1.015,Hip07,12.8,1.64,1.722,0.48,89
20329+1357,EDR3,16.234,0.193,1.206,1.299,1.399,1.463,1.558,1.666,0.744,0.795,0.851,0.719,0.763,0.816,EDR3,16.234,0.193,1.299,0.5,139
20452-3120,EDR3,101.348,0.053,0.114,0.929,5.132,0.81,0.899,0.982,0.407,0.451,0.492,0.403,0.448,0.49,EDR3,101.348,0.053,0.86,2.1,145
20450+1244,EDR3,10.86,0.061,0.776,2.322,7.581,2.139,2.324,2.537,1.071,1.164,1.27,1.068,1.16,1.267,EDR3,10.86,0.061,2.287,0.67,354
20467+1607,Hip97,32.049,1.063,1.04,3.132,10.274,3.158,3.486,3.846,1.762,1.96,2.172,1.395,1.525,1.674,Hip97,32.049,1.063,3.072,8.93,266
20474+3629,DR2,4.989,0.342,3.576,11.258,43.818,8.612,9.789,11.636,5.394,6.211,7.347,3.218,3.646,4.29,DR2,4.989,0.342,11.15,0.93,2
20494+1124,EDR3,27.208,0.154,1.098,1.34,1.625,1.369,1.449,1.54,0.692,0.732,0.78,0.677,0.716,0.76,EDR3,27.208,0.154,1.338,0.6,312
20511+5125,EDR3,8.134,0.064,0.575,3.139,16.418,3.059,3.356,3.709,1.646,1.812,2.018,1.412,1.544,1.691,EDR3,8.134,0.064,3.124,0.73,39
20519+0544,EDR3,10.327,0.062,0.29,2.356,12.998,2.094,2.279,2.48,1.044,1.137,1.236,1.05,1.142,1.244,EDR3,10.327,0.062,2.176,0.66,319
20548+3242,EDR3,15.958,0.032,0.634,2.255,8.521,2.047,2.223,2.416,1.023,1.115,1.211,1.023,1.109,1.205,EDR3,15.958,0.032,2.215,0.97,284
20593+1534,3rd light,2.371,0.021,4.503,4.629,4.758,4.773,5.421,6.199,2.733,3.162,3.537,2.039,2.259,2.661,3rd,2.371,0.021,4.628,0.53,303
21072-1355,EDR3,57.548,0.017,0.157,1.286,7.094,1.335,1.421,1.511,0.802,0.856,0.905,0.533,0.565,0.606,Hip97,56.67,1.18,1.241,3.66,185
21200+5259,EDR3,12.143,0.015,0.397,3.222,17.799,2.565,2.781,3.035,1.299,1.409,1.54,1.266,1.372,1.495,EDR3,12.143,0.015,2.979,6.85,114
21243+0343,Hip97,9.21,3.23,0.925,2.29,8.29,1.853,2.076,2.551,0.941,1.056,1.304,0.912,1.02,1.247,Hip97,9.21,3.23,2.295,0.3,217
21441+2845,EDR3,45.156,0.122,1.554,2.295,3.409,2.286,2.456,2.679,1.301,1.411,1.543,0.986,1.044,1.136,EDR3,45.156,0.122,2.288,1.65,319
21555+1053,Hip07,20.93,1.21,1.559,1.869,2.259,1.814,1.929,2.058,0.944,1.002,1.075,0.87,0.926,0.983,Hip07,20.93,1.21,1.868,1.06,25
22038+6438,Hip07,33.79,1.06,0.659,3.4,16.962,2.625,2.877,3.169,1.587,1.747,1.94,1.037,1.13,1.229,Hip07,33.79,1.06,3.368,8.05,275
22070+3605,Hip07,5.46,0.82,2.001,3.463,6.258,2.94,3.305,3.76,1.686,1.916,2.199,1.254,1.39,1.561,Hip07,5.46,0.82,3.402,1.06,316
22107+0755,Hip07,26.3,3.91,0.17,1.442,8.695,1.096,1.193,1.314,0.555,0.605,0.667,0.541,0.588,0.647,Hip97,26.63,8.18,1.254,0.89,5
22180-6249,EDR3,9.022,0.097,0.618,2.187,8.993,2.292,2.49,2.725,1.559,1.709,1.891,0.733,0.78,0.835,EDR3,9.022,0.097,2.184,1.62,197
22234+3228,EDR3,65.487,0.044,0.117,0.952,5.259,0.845,0.932,1.007,0.424,0.468,0.505,0.42,0.464,0.502,EDR3,65.487,0.044,0.876,1.25,254
22266-1645,DR2,51.508,0.13,0.684,2.046,6.698,1.868,1.978,2.099,0.942,0.997,1.062,0.927,0.981,1.037,DR2,51.508,0.13,2.017,1.2,69
22281+1215,Hip97,15.87,1.28,0.293,2.436,13.83,2.119,2.29,2.488,1.276,1.394,1.534,0.844,0.896,0.953,Hip97,15.87,1.28,2.233,0.97,182
22288-0001,Hip07,35.5,1.26,2.123,3.982,8.4,3.103,3.412,3.779,1.589,1.75,1.945,1.514,1.662,1.834,Hip07,35.5,1.26,3.943,2.31,163
22384-6523,Hip07,75.87,5.83,0.095,0.781,4.433,0.64,0.739,0.839,0.318,0.366,0.417,0.321,0.373,0.422,Hip07,75.87,5.83,0.718,0.48,103
22400+0113,EDR3,11.638,0.028,0.725,2.171,7.096,2.074,2.228,2.401,1.127,1.224,1.329,0.948,1.004,1.072,EDR3,11.638,0.028,2.133,0.82,165
22406+0632,Hip97,5.26,3.83,0.377,2.727,46.923,2.044,2.588,3.957,1.023,1.297,1.983,1.021,1.292,1.973,Hip97,5.26,3.83,2.839,0.51,337
22504-1744,plxx,14.941,2.988,0.915,1.609,3.179,1.376,1.494,1.655,0.699,0.759,0.843,0.677,0.734,0.812,x,14.941,2.988,1.61,0.31,237
