WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rHo,PA
01437+0934,EDR3,19.254,0.076,1.439,1.756,2.13,1.67,1.773,1.877,0.862,0.913,0.966,0.809,0.86,0.911,EDR3,19.254,0.076,1.755,0.75,43
01450+5707,EDR3,13.421,0.039,0.558,1.665,5.468,1.679,1.778,1.884,0.861,0.911,0.964,0.818,0.867,0.92,EDR3,13.421,0.039,1.639,0.8,111
01477-4358,EDR3,6.962,0.118,2.703,3.045,3.43,2.672,2.91,3.181,1.402,1.532,1.679,1.27,1.378,1.502,EDR3,6.962,0.118,3.044,0.52,206
01500-0408,EDR3,15.988,0.03,1.084,1.406,1.83,1.527,1.631,1.734,0.785,0.84,0.888,0.741,0.791,0.847,EDR3,15.988,0.03,1.404,0.81,182
01532+1526,EDR3,10.163,0.029,1.898,2.433,3.069,2.196,2.386,2.597,1.125,1.223,1.328,1.07,1.163,1.269,EDR3,10.163,0.029,2.431,1.13,260
02104-5049,EDR3,92.901,0.044,0.12,0.982,5.411,0.948,1.017,1.087,0.803,0.857,0.906,0.145,0.161,0.181,TGAS,88.87,0.92,1.036,2.57,83
02140+4729,DR2,24.001,0.108,2.25,2.412,2.582,2.248,2.444,2.658,1.192,1.296,1.407,1.055,1.148,1.252,DR2,24.001,0.108,2.412,1.37,307
02158-1814,EDR3,43.472,0.017,0.936,1.442,2.35,1.41,1.497,1.595,0.735,0.783,0.837,0.675,0.714,0.757,EDR3,43.472,0.017,1.436,1.98,164
02198-3527,Hip07,29.49,1.86,0.734,1.814,5.17,1.516,1.626,1.733,0.769,0.826,0.876,0.747,0.801,0.857,Hip07,29.49,1.86,1.775,2.33,242
02211+4246,Hip97,16.36,1.49,1.406,1.884,2.575,1.707,1.817,1.936,0.861,0.918,0.978,0.846,0.899,0.958,Hip97,16.36,1.49,1.876,0.71,206
02232-2952,Hip07,25.63,0.88,1.11,2.038,3.956,1.888,1.997,2.142,0.968,1.023,1.113,0.92,0.974,1.029,Hip07,25.63,0.88,2.015,1.98,212
02291+6724,Hip07,24.55,0.81,0.429,3.489,19.396,2.815,3.096,3.406,1.735,1.924,2.125,1.08,1.172,1.281,Hip07,24.55,0.81,3.222,2.8,230
02371-1112,Hip07,15.12,1.13,0.418,2.089,14.119,1.864,2.014,2.174,1.026,1.124,1.228,0.838,0.89,0.946,DR2,15.85,0.973,2.1,0.66,38
02402+0436,EDR3,14.474,0.071,1.229,1.285,1.342,1.345,1.424,1.509,0.673,0.713,0.755,0.672,0.711,0.753,EDR3,14.474,0.071,1.285,0.58,322
02475+1922,EDR3,30.208,0.019,0.536,1.605,5.237,1.814,1.922,2.047,0.951,1.008,1.08,0.863,0.914,0.967,EDR3,30.208,0.019,1.577,3.64,307
02572+0153,EDR3,20.885,0.09,1.541,1.88,2.28,1.86,1.969,2.096,0.95,1.006,1.076,0.91,0.963,1.02,EDR3,20.885,0.09,1.879,0.6,164
03101+2145,EDR3,8.077,0.062,1.02,3.051,10.027,2.722,2.965,3.245,1.368,1.49,1.632,1.354,1.475,1.614,EDR3,8.077,0.062,3.003,0.83,102
03121-2859,EDR3,71.138,0.073,2.221,2.404,2.606,2.041,2.2,2.37,1.259,1.363,1.485,0.783,0.837,0.885,EDR3,71.138,0.073,2.404,5.33,300
03122+3713,Hip97,23.6,2.03,0.569,1.76,5.965,1.847,1.967,2.108,0.943,1.004,1.085,0.905,0.962,1.023,Hip97,23.6,2.03,1.713,2.9,125
03128-0112,EDR3,43.703,0.132,0.246,1.995,11.02,1.789,1.934,2.098,1.239,1.345,1.464,0.55,0.589,0.634,EDR3,43.703,0.132,1.844,2.23,197
03130+4417,Hip97,10.32,2.66,1.107,2.651,7.44,2.185,2.505,2.93,1.116,1.278,1.495,1.07,1.227,1.435,Hip97,10.32,2.66,2.529,0.59,343
03140+0044,EDR3,14.856,0.078,1.204,2.271,4.95,2.119,2.304,2.512,1.067,1.16,1.266,1.052,1.145,1.247,EDR3,14.856,0.078,2.259,1.25,131
03162+5810,Hip07,69.51,3.37,0.221,0.971,4.365,0.875,0.963,1.034,0.447,0.491,0.524,0.428,0.472,0.509,Hip07,69.51,3.37,0.957,5.04,2
03196+6714,Hip07,15.93,1.25,0.239,1.973,11.161,1.883,2.005,2.161,0.949,1.011,1.096,0.934,0.994,1.065,Hip07,15.93,1.25,1.811,1.08,80
03236-4005,EDR3,56.542,0.024,1.088,1.475,2.068,1.319,1.401,1.484,0.841,0.889,0.941,0.478,0.512,0.543,EDR3,56.542,0.024,1.474,2.59,122
03261+1229,Hip97,13.68,1.55,1.627,2.289,3.333,2.016,2.192,2.419,0.998,1.079,1.192,1.018,1.113,1.227,Hip97,13.68,1.55,2.283,0.26,37
03310+2937,Hip97,7.82,1.81,0.745,2.77,11.88,1.99,2.22,2.569,1.03,1.17,1.353,0.959,1.05,1.216,Hip97,7.82,1.81,2.54,0.51,135
03344+2428,EDR3,5.499,0.072,4.404,5.39,6.562,5.305,6.12,6.906,2.66,3.069,3.46,2.645,3.051,3.452,EDR3,5.499,0.072,5.384,0.77,352
03350+6002,EDR3,19.829,0.018,2.321,2.472,2.636,2.211,2.377,2.585,1.22,1.325,1.44,0.991,1.052,1.145,EDR3,19.829,0.018,2.472,1.62,268
03356+3141,Hip97,11.92,1.33,0.881,2.794,9.681,2.578,2.836,3.149,1.312,1.445,1.606,1.266,1.391,1.543,Hip07,11.63,0.97,2.895,1.04,221
03362+4220,Hip07,15.3,1.65,1.427,1.996,2.88,1.817,1.942,2.101,0.953,1.019,1.114,0.864,0.923,0.986,Hip07,15.3,1.65,1.987,0.74,346
03401+3407,TGAS,22.9,0.73,1.48,2.35,3.752,2.012,2.158,2.345,1.014,1.094,1.187,0.998,1.064,1.158,TGAS,22.9,0.73,2.336,1.91,59
03520+0632,EDR3,4.476,0.074,3.95,11.846,38.644,7.86,9.044,10.504,4.189,4.775,5.634,3.671,4.282,4.87,Hip97,4.63,1.49,10.511,0.82,208
04041+3931,Hip07,30.9,1.1,1.687,2.113,2.636,1.686,1.793,1.918,0.945,1.002,1.071,0.74,0.791,0.847,Hip07,30.9,1.1,2.11,1.58,54
04070+3934,plxx,6.079,1.216,0.239,2.114,13.663,2.118,2.391,2.719,1.05,1.184,1.348,1.068,1.207,1.371,x,6.079,1.216,1.887,0.35,129
04076+3804,Hip97,48.59,1.17,0.193,1.577,8.706,1.462,1.556,1.648,0.841,0.889,0.941,0.621,0.667,0.707,EDR3,47.325,0.023,1.571,2.82,354
04130-2832,EDR3,15.621,0.03,0.452,2.167,10.48,2.056,2.23,2.421,1.035,1.127,1.224,1.02,1.102,1.197,EDR3,15.621,0.03,2.159,1.37,55
04227+1503,Hip07,22.92,1.11,1.511,2.334,3.611,1.917,2.068,2.228,1.043,1.139,1.243,0.873,0.929,0.985,Hip07,22.92,1.11,2.321,1.23,329
04242-5704,EDR3,36.332,0.012,1.085,1.865,3.164,1.874,1.984,2.123,0.962,1.019,1.101,0.912,0.965,1.022,EDR3,36.332,0.012,1.853,5.33,248
