WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rho,PA
02371-1112,H07,15.12,1.13,0.419,2.092,14.103,1.863,2.014,2.174,1.025,1.123,1.228,0.838,0.89,0.946,dr2,15.85,0.973,2.1,0.66,38
02402+0436,DR3,14.474,0.071,1.229,1.285,1.342,1.345,1.424,1.509,0.673,0.713,0.755,0.672,0.711,0.753,DR3,14.474,0.071,1.285,0.58,322
02475+1922,DR3,30.208,0.019,0.535,1.6,5.241,1.814,1.922,2.047,0.951,1.008,1.08,0.863,0.914,0.967,DR3,30.208,0.019,1.577,3.64,307
02572+0153,DR3,20.885,0.09,1.542,1.88,2.281,1.86,1.969,2.096,0.95,1.006,1.076,0.91,0.963,1.02,DR3,20.885,0.09,1.879,0.6,164
03101+2145,DR3,8.077,0.062,1.02,3.058,9.983,2.722,2.965,3.246,1.368,1.491,1.632,1.354,1.475,1.614,DR3,8.077,0.062,3.003,0.83,102
03121-2859,DR3,71.138,0.073,2.221,2.404,2.606,2.041,2.2,2.37,1.259,1.363,1.485,0.783,0.837,0.885,DR3,71.138,0.073,2.404,5.33,300
03122+3713,H97,23.6,2.03,0.567,1.76,5.959,1.847,1.967,2.109,0.943,1.004,1.085,0.905,0.963,1.023,H97,23.6,2.03,1.713,2.9,125
03128-0112,DR3,43.703,0.132,0.246,2.001,10.998,1.789,1.933,2.098,1.239,1.344,1.464,0.55,0.589,0.634,DR3,43.703,0.132,1.844,2.23,197
03130+4417,H97,10.32,2.66,1.109,2.656,7.451,2.185,2.506,2.932,1.116,1.279,1.497,1.07,1.227,1.436,H97,10.32,2.66,2.529,0.59,343
03140+0044,DR3,14.856,0.078,1.203,2.275,4.958,2.119,2.304,2.513,1.067,1.16,1.266,1.052,1.145,1.247,DR3,14.856,0.078,2.259,1.25,131
03162+5810,H07,69.51,3.37,0.22,0.968,4.36,0.875,0.963,1.034,0.447,0.491,0.524,0.428,0.472,0.509,H07,69.51,3.37,0.957,5.04,2
03196+6714,H07,15.93,1.25,0.239,1.981,11.188,1.884,2.004,2.16,0.949,1.01,1.095,0.934,0.994,1.065,H07,15.93,1.25,1.811,1.08,80
03236-4005,DR3,56.542,0.024,1.088,1.476,2.068,1.319,1.401,1.484,0.841,0.889,0.941,0.478,0.512,0.543,DR3,56.542,0.024,1.474,2.59,122
03261+1229,H97,13.68,1.55,1.626,2.287,3.327,2.016,2.192,2.419,0.998,1.079,1.192,1.018,1.113,1.227,H97,13.68,1.55,2.283,0.26,37
03310+2937,H97,7.82,1.81,0.748,2.764,11.799,1.99,2.22,2.568,1.031,1.17,1.352,0.959,1.05,1.215,H97,7.82,1.81,2.54,0.51,135
03344+2428,DR3,5.499,0.072,4.4,5.387,6.557,5.306,6.12,6.905,2.661,3.069,3.46,2.645,3.051,3.452,DR3,5.499,0.072,5.384,0.77,352
