WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rho,PA
08508+3504,H97,17.24,1.83,1.351,2.476,4.799,2.211,2.43,2.673,1.113,1.223,1.347,1.097,1.206,1.326,H97,17.24,1.83,2.415,3.48,279
08582+1945,DR3,194.734,0.104,0.094,0.281,0.92,0.241,0.268,0.295,0.114,0.127,0.138,0.13,0.141,0.157,DR3,194.734,0.104,0.276,2.17,51
09572+4554,DR3,14.002,0.014,1.063,1.993,3.822,1.839,1.944,2.089,0.973,1.026,1.117,0.866,0.918,0.972,DR3,14.002,0.014,1.975,4.5,250
12281+4448,DR3,22.07,0.015,1.697,2.215,2.908,1.982,2.13,2.299,1.031,1.122,1.219,0.952,1.008,1.08,DR3,22.07,0.015,2.212,9.71,157
13540+3249,H07,14.0,1.05,1.628,2.193,2.978,1.965,2.106,2.295,1.007,1.087,1.188,0.958,1.019,1.107,H07,14.0,1.05,2.184,6.68,328
14051+4913,DR3,5.212,0.009,0.853,1.788,3.305,1.731,1.836,1.943,0.868,0.921,0.975,0.863,0.915,0.968,DR3,5.212,0.009,1.78,4.63,85
17590+3003,H07,2.416,1.203,0.566,6.769,97.1,5.6,7.877,12.855,3.527,5.004,8.183,2.075,2.883,4.707,H07,2.416,1.203,5.762,19.65,277
02452-4344,3rd,90.177,0.025,0.296,0.419,0.587,0.428,0.49,0.564,0.228,0.262,0.303,0.2,0.228,0.261,3rd,90.177,0.025,0.418,0.4,131
03513+2621,3rd,9.259,0.018,0.853,2.557,8.371,2.362,2.57,2.787,1.203,1.306,1.417,1.159,1.265,1.37,3rd,9.259,0.018,2.51,0.42,195
08317+1924,3rd,60.06,0.036,0.07,0.567,3.125,0.441,0.508,0.575,0.244,0.283,0.319,0.197,0.225,0.257,3rd,60.06,0.036,0.523,0.97,185
13450+0206,DR3,23.4,0.073,0.483,1.445,4.714,1.145,1.221,1.299,0.622,0.667,0.707,0.523,0.553,0.593,DR3,23.4,0.073,1.422,0.63,58
11499+3754,DR3,11.756,0.2,0.859,1.701,3.477,1.603,1.705,1.806,0.78,0.834,0.882,0.823,0.87,0.925,DR3,11.756,0.2,1.683,0.54,301
04406-0912,H07,50.8,3.74,0.852,1.17,1.629,0.992,1.061,1.131,0.493,0.527,0.561,0.499,0.533,0.569,H07,50.8,3.74,1.161,1.72,190
05069-2135,3rd,50.434,0.02,0.968,1.035,1.106,0.901,0.977,1.048,0.489,0.522,0.552,0.412,0.456,0.496,3rd,50.434,0.02,1.034,0.96,112
08289-1552,H97,29.69,1.63,0.837,1.526,2.559,1.339,1.421,1.517,0.818,0.868,0.924,0.52,0.552,0.593,H97,29.69,1.63,1.527,1.33,260
18581+4711,DR3,18.907,0.015,0.238,1.958,10.809,1.85,1.958,2.075,0.936,0.991,1.052,0.914,0.967,1.023,DR3,18.907,0.015,1.801,1.41,186
